Territory,LOCATION_NAME,subcategory,BRAND,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,WS_TERRITORY,WEIGHT FACTOR,AWS
CENTRAL,EMBU,bathing soap,DIVA,3.6,0.003594139,0.006148948,,0.058218468,
CENTRAL,EMBU,bathing soap,SAWA SOAP,369.03,0.003534388,0.002420548,,0.16831778,
CENTRAL,EMBU,detergent,USHINDI DETERGENT,0,0,0,64.84676405,,
CENTRAL,EMBU,dishwashing liquid,USHINDI DISHWASHING LIQUID,23.56408333,0.001157444,0.000323927,,0.020164718,
CENTRAL,EMBU,dishwashing paste,USHINDI DISHWASHING PASTE,19.4,0.000952908,0.000266685,,0.022242605,
CENTRAL,EMBU,fat,FRYMATE,54,0.001864209,0.001418194,37.92318682,0.007278416,0.276020746
CENTRAL,EMBU,fat,MPISHI POA,169.641,0.009561547,0.007579875,41.53469221,0.024387969,1.012946778
CENTRAL,EMBU,glycerine,SAWA GLYCERINE,203.1864167,0.001945928,0.001332744,,0.431927745,
CENTRAL,EMBU,lotion,BELLEZA,183.9688958,0.11147343,0.02312421,,0.332672554,
CENTRAL,EMBU,lotion,FRESCO,174.4068958,0.17732293,0.031333321,,0.424860403,
CENTRAL,EMBU,margarine,ONJA,27.75,0.011280894,0.006281123,95.89977833,0.072895958,6.990706174
CENTRAL,EMBU,milking jelly,SAWA MILKING JELLY,449.6879444,0.004306935,0.002949601,,0.297659678,
CENTRAL,EMBU,oil,FRESH FRI,7186.260667,0.097555309,0.026077931,44.40835361,0.309995901,13.76640758
CENTRAL,EMBU,oil,POPCO,46.332,0.000464932,0.000262528,44.00430178,0.000464932,0.020458992
CENTRAL,EMBU,oil,SALIT,1398.87,0.013052652,0.001240124,33.57641678,0.018585491,0.624034179
CENTRAL,EMBU,petroleum jelly,SAWA PETROLLEUM JELLY,29.00625,0.00027762,0.000190258,,0.317061832,
CENTRAL,EMBU,toilet soap,SAWA SOAP,1118.593333,0.010713752,0.007337098,,0.066768866,
CENTRAL,ENA,bar soap,NDUME,1664.4,0.013174897,0.002256819,10.97780161,0.013174897,0.144631404
CENTRAL,ENA,bar soap,POPCO,20,0.000166274,0.000113325,46.92278541,0.011323436,0.53132717
CENTRAL,ENA,bar soap,USHINDI BAR,10,0.00049119,0.000137466,58.4682421,0.001418399,0.082931324
CENTRAL,ENA,bar soap,WHITEWASH,193.2,0.002831105,0.001644974,,0.006988846,
CENTRAL,ENA,bathing soap,DETREX,28.8,0.000860385,0.000969123,66.28906039,0.004704852,0.311880226
CENTRAL,ENA,fat,DIRIA,24,0.000490425,0.000835138,47.16697108,0.002167011,0.102211347
CENTRAL,ENA,fat,FRYMATE,216,0.007509103,0.005672775,37.92318682,0.029317733,1.111821884
CENTRAL,ENA,fat,MPISHI POA,175.924,0.009917878,0.007860611,41.53469221,0.025296837,1.050696348
CENTRAL,ENA,glycerine,SAWA GLYCERINE,4.236916667,4.04E-05,2.78E-05,,0.008962478,
CENTRAL,ENA,lotion,BELLEZA,4.781,0.002838164,0.000600954,,0.008469995,
CENTRAL,ENA,lotion,FRESCO,5.378625,0.005370352,0.000966305,,0.012867201,
CENTRAL,ENA,milking jelly,SAWA MILKING JELLY,30.50666667,0.000291991,0.0002001,,0.020180012,
CENTRAL,ENA,oil,FRESH FRI,996.156,0.01351265,0.00361491,44.40835361,0.042938371,1.906822373
CENTRAL,ENA,oil,POPCO,57.022,0.000586178,0.0003231,44.00430178,0.000586178,0.025794341
CENTRAL,ENA,oil,SALIT,6703.888,0.062568771,0.005943119,33.57641678,0.089090807,2.99135008
CENTRAL,ENA,toilet soap,SAWA SOAP,54.62,0.00052295,0.000358264,,0.003259063,
CENTRAL,ENDARASHA,bar soap,NDUME,1000,0.007915703,0.001355935,10.97780161,0.007915703,0.086897022
CENTRAL,ENDARASHA,bar soap,POPCO,130,0.001413895,0.00073661,46.92278541,0.096287828,4.518093113
CENTRAL,ENDARASHA,bar soap,USHINDI BAR,107.4,0.005275379,0.001476389,58.4682421,0.01523361,0.890682421
CENTRAL,ENDARASHA,bar soap,WHITEWASH,36.8,0.000539258,0.000313328,,0.001331209,
CENTRAL,ENDARASHA,bathing soap,4U,198,0.003909631,0.015784124,,0.121860465,
CENTRAL,ENDARASHA,bathing soap,DETREX,95.6,0.002856001,0.003216949,66.28906039,0.015617495,1.035269085
CENTRAL,ENDARASHA,bathing soap,SAWA SOAP,46.08,0.000441154,0.000302249,,0.021009005,
CENTRAL,ENDARASHA,bodywash,SAWA BODYWASH,6.21,5.93E-05,4.07E-05,,0.099659816,
CENTRAL,ENDARASHA,dishwashing liquid,USHINDI DISHWASHING LIQUID,50.571,0.002483996,0.000695181,,0.043275606,
CENTRAL,ENDARASHA,dishwashing paste,USHINDI DISHWASHING PASTE,4.8,0.000235771,6.60E-05,,0.005503325,
CENTRAL,ENDARASHA,fat,DIRIA,1900.25,0.043288587,0.066123827,47.16697108,0.191276521,9.02193412
CENTRAL,ENDARASHA,fat,FRYKING,0.5,0,0.000182615,48.03585969,0,0
CENTRAL,ENDARASHA,fat,FRYMATE,1138,0.039636218,0.029887122,37.92318682,0.154751377,5.868665398
CENTRAL,ENDARASHA,fat,MPISHI POA,653.435,0.0369992,0.029196689,41.53469221,0.09437127,3.919681646
CENTRAL,ENDARASHA,glycerine,SAWA GLYCERINE,85.04116667,0.000814326,0.000557804,,0.180751757,
CENTRAL,ENDARASHA,lotion,BELLEZA,95.62,0.057910628,0.01201908,,0.172823932,
CENTRAL,ENDARASHA,lotion,FRESCO,52.591,0.053399534,0.009448312,,0.127943676,
CENTRAL,ENDARASHA,margarine,ONJA,36,0.014665163,0.008148483,95.89977833,0.094764745,9.087918026
CENTRAL,ENDARASHA,milking jelly,SAWA MILKING JELLY,175.556,0.001681283,0.00115151,,0.116196324,
CENTRAL,ENDARASHA,oil,FRESH FRI,875,0.011867722,0.003175252,44.40835361,0.03771138,1.674700303
CENTRAL,ENDARASHA,oil,POPCO,1024.544,0.011559821,0.0058053,44.00430178,0.011559821,0.508681857
